what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1561674652588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561674664273
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561674666976
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1561674667038
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561674671459
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1561674673053
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561674673053
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561674674099
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561674674146
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1561674718726
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1561674723381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561674733926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561674735332
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1561674735394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561674747017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561674750189
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1561674750251
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561674753657
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1561674756625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561674789509
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561674800507
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561674800898
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561674800992
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1561674805116
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561674806725
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1561674821848
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561674833394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561674841080
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561674841471
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561674841549
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561674855032
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561674861783
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561674895597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561674901769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561674902879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561674907114
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561674908958
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561674913146
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561674914287
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561674916975
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561674919428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561674921253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675077379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675082212
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675085450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675105899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675106024
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561675108431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675110337
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675222835
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561675223002
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1561675227080
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561675229174
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561675229252
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561675230487
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561675234955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675267653
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675270371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675296297
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675326349
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1561675328455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1561675331736
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675334993
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675335071
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561675339930
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1561675354336
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675385566
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1561675389696
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561675389789
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561675394281
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1561675395516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1561675403141
